cgpa,attendance,backlogs,study_hours,family_income,extracurricular,internships,coding_skill,communication_skill,projects,certifications,financial_stress,lms_engagement,mentor_sessions,dropout,placed,salary_lpa
4.82,83.3,1,2.3,1,1.3,0,4.7,6.8,1,1,5.8,64.9,2,0,1,6.36
6.37,66.3,2,0.7,3,2.6,0,7.6,8.4,2,0,5.3,82.0,3,1,1,6.59
6.93,68.4,1,2.5,3,5.2,0,7.4,7.7,2,0,5.0,62.2,0,1,0,8.86
9.3,70.2,0,4.2,3,10.0,2,8.0,6.8,1,0,5.8,68.4,0,0,1,10.01
7.17,83.1,0,3.8,1,7.4,0,6.0,7.1,0,1,3.4,85.2,0,0,1,7.53
8.28,96.7,0,3.2,1,6.3,1,3.5,3.3,3,3,4.2,83.8,1,0,1,5.67
6.35,92.7,3,4.6,4,2.8,1,3.1,5.7,3,0,0.0,12.3,4,1,1,6.72
5.46,84.4,0,2.9,1,0.8,3,4.3,3.6,2,0,6.6,75.9,1,1,1,8.42
5.75,59.4,1,3.3,1,5.6,1,10.0,5.8,0,0,5.6,75.8,0,1,1,8.12
6.06,59.4,0,2.4,4,5.3,1,4.9,8.0,2,4,2.6,54.8,1,0,1,6.73
9.77,85.5,0,4.7,3,4.9,0,5.9,5.8,0,1,2.4,50.8,1,1,1,8.61
5.93,59.2,0,3.7,3,4.7,1,9.0,0.8,2,2,2.1,37.4,0,0,1,8.15
8.09,74.8,0,2.3,1,3.9,0,6.1,3.7,1,3,6.0,21.2,1,1,1,9.95
5.83,82.3,0,0.8,2,3.3,0,3.8,7.0,1,2,7.5,77.0,1,1,1,6.89
8.21,62.1,0,5.0,3,8.6,0,7.2,4.7,2,0,7.6,75.3,1,1,1,8.25
7.5,63.7,0,2.0,2,3.5,0,4.5,7.4,5,0,8.6,58.0,1,1,1,7.1
6.8,76.7,0,3.3,1,4.9,1,6.2,3.4,4,0,4.9,74.2,1,0,1,8.23
6.95,85.1,1,7.0,1,5.4,2,6.7,6.6,2,3,3.3,80.5,1,0,1,12.14
6.15,92.9,2,4.5,2,7.1,1,4.4,6.7,3,1,7.0,24.1,2,1,0,8.19
7.58,86.5,1,5.8,1,3.6,1,5.9,7.4,3,0,8.9,65.0,1,0,1,9.83
6.41,79.0,3,2.3,3,7.7,0,9.2,4.5,0,3,5.0,55.1,0,1,1,5.73
5.41,67.6,0,4.9,1,4.2,0,4.1,7.4,0,1,5.9,68.6,3,1,0,6.83
5.34,63.0,2,3.2,1,5.1,1,8.5,8.8,2,1,4.6,63.7,0,1,1,9.31
7.22,70.8,0,3.8,4,9.1,0,4.1,1.3,1,0,4.4,75.4,0,0,1,5.71
9.05,83.7,0,6.4,4,3.4,1,9.6,5.9,1,1,4.3,28.3,0,0,1,11.03
7.21,82.7,0,2.8,3,7.1,1,3.5,2.2,4,1,4.7,86.3,1,1,1,7.63
6.85,48.6,1,3.2,4,7.7,0,4.6,4.1,0,2,0.5,49.5,2,1,0,6.15
7.37,67.0,1,1.8,1,6.2,0,9.0,4.2,0,1,3.7,57.3,1,1,1,7.8
8.7,94.9,2,4.6,2,5.2,0,9.1,5.7,2,0,4.8,24.8,2,1,1,8.21
7.29,79.1,1,2.3,1,10.0,2,7.4,6.6,1,0,8.4,57.9,1,0,1,9.04
6.47,58.2,0,4.8,2,5.5,1,3.0,7.6,1,0,7.1,59.6,1,1,1,7.94
8.44,100.0,0,0.6,3,5.9,0,5.7,6.3,0,0,3.1,58.4,2,1,1,7.11
7.56,77.6,0,4.1,3,4.8,0,5.5,7.1,1,0,0.0,45.3,3,0,1,8.5
9.0,83.4,0,2.2,1,5.8,1,3.5,3.6,3,0,9.1,35.6,0,1,1,6.96
7.24,83.6,0,4.4,2,7.6,1,7.1,7.9,2,0,7.9,72.8,4,0,1,7.73
5.41,72.9,0,3.2,4,4.9,2,3.7,0.0,0,1,3.3,25.3,3,1,1,5.04
5.22,67.8,1,2.3,2,0.9,0,2.5,8.9,3,0,4.0,76.1,0,1,0,7.05
9.15,100.0,0,2.6,1,6.6,1,1.8,8.5,2,2,5.3,93.9,1,0,1,7.03
9.24,92.0,0,1.8,2,3.1,0,9.4,7.3,0,1,7.1,100.0,0,1,1,12.13
6.77,89.5,2,4.5,2,7.1,1,4.3,10.0,2,2,6.2,38.3,0,0,1,11.06
6.5,86.1,2,1.5,2,5.5,1,4.4,2.2,0,1,4.0,71.8,0,0,1,6.95
8.9,64.0,0,2.8,2,7.6,0,3.1,7.4,4,1,10.0,48.7,1,1,1,7.97
5.56,95.9,1,3.8,2,3.4,1,8.6,6.1,3,3,1.5,84.5,0,0,1,9.11
5.84,66.2,0,5.8,2,4.3,0,2.3,6.3,1,2,3.6,67.9,2,0,1,4.91
7.84,82.0,1,3.2,2,4.8,0,2.7,3.5,2,3,3.7,54.2,0,1,1,6.17
6.49,55.0,0,2.8,1,2.2,0,4.8,6.6,2,1,6.2,41.8,2,1,1,6.92
6.99,49.4,1,3.6,1,7.9,0,5.5,6.5,3,0,8.6,52.6,2,1,1,5.75
6.79,82.5,0,0.0,2,1.9,1,7.0,4.4,3,1,6.9,46.5,2,1,1,9.17
7.44,66.7,0,1.3,3,7.9,1,3.9,5.7,3,0,4.3,59.5,2,1,1,6.61
8.83,50.2,0,2.6,3,6.4,0,9.1,3.2,3,1,0.9,60.5,0,0,1,8.92
7.12,85.6,0,2.1,1,5.1,1,4.0,5.0,1,2,8.2,48.9,3,0,1,6.62
7.84,100.0,0,0.6,2,6.3,0,3.2,7.7,2,1,2.4,47.1,1,0,1,7.86
4.33,97.5,1,4.6,2,6.2,0,3.0,7.8,3,0,4.1,72.5,2,1,1,6.72
6.94,74.4,3,3.6,2,4.6,0,3.7,7.3,3,1,4.8,74.0,0,1,1,6.3
5.9,78.1,1,3.4,3,6.2,0,2.8,7.7,1,3,2.1,43.7,3,0,1,7.77
5.42,90.4,0,2.1,4,7.1,1,7.2,7.7,0,0,1.1,58.9,1,0,1,6.4
5.86,93.7,0,3.3,1,3.4,0,3.2,4.5,2,0,8.0,42.7,0,1,1,4.69
6.57,73.2,2,4.0,2,6.3,0,5.2,6.5,0,0,8.3,100.0,2,1,0,7.5
8.19,78.5,0,2.8,2,0.0,1,3.1,8.0,1,1,4.8,41.2,3,0,1,6.21
5.28,82.2,0,3.9,2,1.3,1,2.8,3.0,1,0,0.9,65.1,1,0,1,4.45
7.04,85.8,0,1.9,1,6.7,0,8.0,3.0,1,4,6.6,68.9,2,0,1,7.56
6.37,76.1,1,3.4,2,4.6,0,9.2,2.9,0,5,3.4,46.7,4,1,0,8.12
6.57,76.3,1,5.0,1,3.6,1,8.4,2.2,4,1,6.8,42.8,0,1,0,8.37
8.3,97.3,0,5.2,3,5.4,1,2.1,3.7,4,2,4.7,54.4,1,0,1,6.06
7.7,94.9,0,5.3,3,4.6,1,2.4,4.7,1,1,0.0,42.7,3,0,1,7.5
8.74,84.7,0,3.7,2,3.3,0,10.0,8.8,2,0,4.1,63.8,0,0,1,11.18
6.8,100.0,0,3.3,4,1.9,1,4.9,4.9,2,1,4.4,43.0,1,0,1,8.7
6.1,72.6,0,2.5,3,1.2,0,2.3,2.8,2,2,3.8,62.9,2,0,1,4.96
6.71,100.0,1,0.3,2,7.1,1,8.0,6.1,2,1,2.5,18.7,4,0,1,9.09
7.32,85.6,0,1.0,4,4.6,1,5.7,5.4,1,1,4.5,43.9,2,1,1,9.09
7.23,100.0,0,2.9,3,7.6,1,6.8,4.2,3,0,0.2,51.6,2,1,1,8.91
5.59,61.3,0,3.0,1,4.5,1,0.4,4.6,1,1,6.5,80.0,0,1,1,5.77
7.12,68.3,1,5.5,2,6.3,2,4.7,7.9,3,1,3.8,23.0,0,0,1,10.29
7.3,83.9,0,5.3,2,5.2,0,7.7,3.0,3,3,6.0,80.3,2,0,1,8.96
10.0,83.6,0,2.1,3,5.6,0,4.0,2.5,3,2,3.5,73.2,1,0,1,8.61
9.44,100.0,0,4.5,4,5.7,0,8.3,6.7,2,2,4.1,24.3,2,0,1,10.49
5.89,68.6,1,2.4,2,4.5,1,2.5,4.6,0,4,8.1,70.8,2,0,1,6.37
6.63,90.7,1,4.3,1,2.8,0,5.2,8.9,2,1,7.6,41.4,2,1,1,7.3
5.1,94.3,0,4.5,2,7.2,2,9.3,5.5,1,1,6.6,71.4,1,1,1,9.45
6.23,87.9,2,5.2,3,9.0,0,2.9,5.6,2,1,5.3,72.6,2,1,0,6.22
7.41,64.5,0,2.4,2,9.2,0,6.1,7.4,1,1,1.1,75.9,1,1,1,7.43
8.57,97.7,0,4.8,1,4.3,0,6.8,2.5,0,0,6.2,48.6,2,0,1,7.93
6.05,95.2,0,0.2,2,3.9,0,5.7,6.5,2,2,5.6,73.6,1,0,1,8.9
6.15,86.4,0,5.3,3,4.3,0,4.9,5.1,2,1,5.3,90.8,0,0,1,6.75
4.21,80.9,1,3.2,1,5.1,1,3.5,7.9,4,1,5.8,54.2,1,1,1,6.95
6.79,81.2,0,3.2,2,5.4,0,6.0,4.5,2,0,6.6,56.7,3,0,1,7.36
5.62,76.9,3,0.0,1,3.3,1,5.3,6.2,2,2,3.8,74.2,2,1,1,5.61
6.31,87.0,1,2.6,2,2.2,0,2.2,5.1,2,0,9.6,3.1,3,1,0,5.03
5.86,78.4,3,5.4,1,5.6,0,8.0,6.6,1,2,7.3,40.4,1,1,1,10.69
6.88,66.1,0,2.5,1,0.0,0,3.4,5.3,1,1,3.9,80.1,0,1,1,6.29
4.71,63.3,1,4.3,3,5.3,0,2.3,6.3,5,0,7.1,63.1,0,1,1,4.74
5.09,67.5,0,3.3,1,3.4,0,4.1,9.3,4,0,3.4,55.7,1,1,1,6.98
9.77,81.1,0,4.9,1,7.2,0,3.4,5.2,1,2,6.0,41.2,0,0,1,7.47
5.33,77.6,0,3.5,2,7.8,2,4.9,6.6,0,0,5.3,60.5,0,1,1,7.22
5.57,81.0,0,1.7,1,7.9,1,2.6,10.0,1,0,5.1,49.4,2,1,1,6.75
9.39,85.0,0,3.3,1,4.7,0,6.5,6.6,0,1,5.7,25.1,0,1,1,8.83
10.0,69.2,0,5.8,2,3.0,0,8.7,0.9,1,1,5.1,86.1,2,0,1,10.29
5.48,98.5,0,4.0,2,3.7,0,5.7,4.5,3,1,2.5,46.1,1,1,1,5.56
6.52,74.3,0,3.0,2,6.1,0,2.2,3.4,1,1,5.6,54.6,1,1,1,5.52
7.44,71.9,0,6.8,4,1.9,1,3.4,7.6,2,2,3.0,24.3,2,0,1,9.37
9.25,84.8,0,5.1,2,8.6,0,6.0,5.6,1,2,9.5,49.3,2,0,1,8.65
5.72,52.3,0,4.5,2,4.8,0,1.0,7.9,2,0,8.4,80.1,2,1,1,6.06
6.68,66.9,1,3.7,4,6.6,1,2.7,7.0,1,1,1.3,78.6,1,1,1,6.57
8.01,91.7,0,4.4,2,1.6,1,1.7,7.0,0,1,4.7,60.5,0,0,1,5.65
7.57,53.7,0,4.4,3,3.5,1,5.8,3.4,2,1,2.4,47.5,0,0,1,6.09
6.51,93.6,0,0.0,2,1.3,0,10.0,6.8,3,3,4.4,60.5,2,1,1,9.61
6.83,99.2,0,3.8,2,7.7,0,2.6,8.5,0,0,7.0,70.1,2,0,1,5.63
5.21,72.8,1,2.9,4,5.1,0,7.4,2.9,5,0,2.8,30.1,0,1,1,9.88
6.69,82.1,2,2.4,1,6.8,0,4.2,5.2,0,1,4.9,65.0,4,1,1,6.2
6.65,93.7,0,2.9,4,5.6,0,2.5,6.5,2,1,4.4,75.3,0,0,1,5.65
7.3,71.5,0,0.7,2,6.5,1,9.1,6.0,1,2,0.5,58.8,1,0,1,10.5
6.28,90.1,0,0.3,2,4.8,0,10.0,8.7,1,1,4.1,59.6,2,0,1,8.93
7.61,68.6,0,5.2,2,5.1,1,6.4,7.3,2,2,8.2,45.5,2,0,1,10.66
